start,open,high,low,close,volume
1528416000,7689,7697,7543.6,7615.1,11938.685904679987
1528502400,7615.2,7685,7450,7498.5,7203.25936168998
1528588800,7498.5,7498.6,6618.9,6758,56593.872982819914
1528675200,6758,6899,6629.7,6873.3,22216.443959830023
1528761600,6873.4,6873.4,6436.1,6543.9,31715.018228120003
1528848000,6543.4,6611.7,6107.87718467,6295.1,45148.455176740004
1528934400,6295,6736.52103872,6269.5,6633.7,31988.24626938999
1529020800,6633.8,6659,6304,6385,20720.444042070027
1529107200,6386,6559.7,6330,6485.9,13583.71598914002
1529193600,6489,6573,6424.8,6438.4,9359.66962542
1529280000,6443.6,6849.7,6370.76958739,6709.2,25494.052569309966
1529366400,6709.2,6848.2,6655,6735.5,17341.07562713001
1529452800,6732.4,6821.2,6560,6760.4,18445.855755460016
1529539200,6760.3,6788.8,6679.3,6715.2,10613.56140079
1529625600,6715.2,6731,5910.8,6042.6,54663.33640578006
1529712000,6042.6,6259,6013,6151.92764906,20390.37767863999
1529798400,6152.3,6249.7,5755,6148.0390596,45131.309429999994
1529884800,6148,6341,6068.5,6246.6,27728.35492443003
1529971200,6249.1,6280.8,6050.2,6073.4,18770.170544780016
1530057600,6073.4,6192.7,5984.9,6133.08668215,17954.536099540037
1530144000,6133.1,6170.9,5822.3,5848.1,17658.98488139997
1530230400,5850,6302,5780,6208.1,32719.619906059936
1530316800,6208.1,6545.5,6195.2,6391.5,23441.39573307
1530403200,6391.5,6439.9,6260,6349.7,11313.202873760003
1530489600,6349.3,6681.1,6275,6617.6,26550.456217880015
1530576000,6617.8,6675.2,6470.5,6509,17192.400053780002
1530662400,6509.1,6784.9,6414.1,6590,22122.80640525998
1530748800,6589.9,6704.7,6423.4,6532.3,22781.85237791998
1530835200,6532.4,6641.78437543,6451.9,6602.2,14866.610865359997
1530921600,6602.8,6839.4,6511,6761.8,14855.332266249998
1531008000,6761.8,6790.8,6668.9,6707,13062.43776850999
1531094400,6707,6820,6616.6,6666.9,16262.462808209984
